"","ZIP","COUNTYNAME","STATE","STCOUNTYFP","CLASSFP"
"2985",95224,"Calaveras County","CA",6009,"H1"
"2986",95249,"Calaveras County","CA",6009,"H1"
"2987",95247,"Calaveras County","CA",6009,"H1"
"2988",95229,"Calaveras County","CA",6009,"H1"
"2989",95226,"Calaveras County","CA",6009,"H1"
"2990",95222,"Calaveras County","CA",6009,"H1"
"2991",95246,"Calaveras County","CA",6009,"H1"
"2992",95230,"Calaveras County","CA",6009,"H1"
"2993",95223,"Calaveras County","CA",6009,"H1"
"2994",95257,"Calaveras County","CA",6009,"H1"
"2995",95221,"Calaveras County","CA",6009,"H1"
"2996",95255,"Calaveras County","CA",6009,"H1"
"2997",95245,"Calaveras County","CA",6009,"H1"
"2998",95251,"Calaveras County","CA",6009,"H1"
"2999",95232,"Calaveras County","CA",6009,"H1"
"3000",95228,"Calaveras County","CA",6009,"H1"
"3001",95254,"Calaveras County","CA",6009,"H1"
"3002",95248,"Calaveras County","CA",6009,"H1"
"3003",95236,"Calaveras County","CA",6009,"H1"
"3004",95225,"Calaveras County","CA",6009,"H1"
"3005",95950,"Colusa County","CA",6011,"H1"
"3006",95988,"Colusa County","CA",6011,"H1"
"3007",95932,"Colusa County","CA",6011,"H1"
"3008",95912,"Colusa County","CA",6011,"H1"
"3009",95979,"Colusa County","CA",6011,"H1"
"3010",95645,"Colusa County","CA",6011,"H1"
"3011",95939,"Colusa County","CA",6011,"H1"
"3012",95987,"Colusa County","CA",6011,"H1"
"3013",95970,"Colusa County","CA",6011,"H1"
"3014",95955,"Colusa County","CA",6011,"H1"
"3015",95957,"Colusa County","CA",6011,"H1"
"3016",94530,"Contra Costa County","CA",6013,"H1"
"3017",94506,"Contra Costa County","CA",6013,"H1"
"3018",94509,"Contra Costa County","CA",6013,"H1"
"3019",94588,"Contra Costa County","CA",6013,"H1"
"3020",94596,"Contra Costa County","CA",6013,"H1"
"3021",94805,"Contra Costa County","CA",6013,"H1"
"3022",94806,"Contra Costa County","CA",6013,"H1"
"3023",94525,"Contra Costa County","CA",6013,"H1"
"3024",94514,"Contra Costa County","CA",6013,"H1"
"3025",94820,"Contra Costa County","CA",6013,"H1"
"3026",94802,"Contra Costa County","CA",6013,"H1"
"3027",94569,"Contra Costa County","CA",6013,"H1"
"3028",94575,"Contra Costa County","CA",6013,"H1"
